"","Family","Genus","Species","Occurence","Literature","OccurenceGen","LiteratureGen","OccurenceFam","LiteratureFam"
"394","Filistatidae","Filistatinella",0,0,0,0,1,0,4
"395","Gnaphosidae","Zelotes","Zelotes cruzana",0,1,0,4,30,47
"396","Gnaphosidae","Zelotes",0,0,0,0,4,30,47
"397","Leptonetidae","Archoleptoneta","Archoleptoneta schusteri",0,1,0,1,0,1
"398","Linyphiidae","Wubana","Wubana drassoides",0,1,0,1,4,17
"399","Linyphiidae","Linyphantes",0,0,0,0,1,4,17
"400","Linyphiidae","Neriene",0,0,0,0,1,4,17
"401","Miturgidae","Cheiracanthium","Cheiracanthium inclusum",0,2,2,3,0,2
"402","Miturgidae",0,0,0,0,0,0,0,2
"403","Oxyopidae","Oxyopes",0,0,0,1,3,8,4
"404","Philodromidae","Philodromus","Philodromus spectabilis",0,1,0,5,12,12
"405","Philodromidae","Ebo",0,0,0,0,5,12,12
"406","Salticidae","Peckhamia","Peckhamia scorpionia",0,1,0,1,253,31
"407","Salticidae","Phanias","Phanias harfordi",0,1,9,1,253,31
"408","Salticidae","Pelegrina",0,0,0,3,2,253,31
"409","Segestriidae","Ariadna","Ariadna fidicina",0,1,1,1,4,8
"410","Segestriidae","Segestria","Segestria cruzana",0,1,3,2,4,8
"411","Tetragnathidae","Tetragnatha",0,0,0,0,3,2,3
"412","Theridiidae","Euryopis","Euryopis spinigera",0,1,0,1,72,20
"413","Theridiidae","Theridion","Theridion murarium",0,1,5,4,72,20
"414","Theridiidae","Theridion","Theridion punctipes",0,1,5,4,72,20
"415","Theridiidae","Wamba","Wamba crispulus",0,1,0,1,72,20
"416","Theriidae","Latrodectus","Latrodectus hesperus",20,5,27,5,0,4
"417","Theriidae","Steatoda","Steatoda grossa",1,3,22,8,0,4
"418","Theriidae","Asagena","Asagena medialis",0,1,1,1,0,4
"419","Theriidae","Steatoda","Steatoda washona",0,4,22,8,0,4
"420","Thomisidae","Ebo","Ebo pepinensis",0,4,0,5,93,16
"421","Thomsidae","Coriarachne","Coriarachne utahensis",0,1,0,1,0,6
"422","Thomsidae","Mecaphesa","Mecaphesa importuna",0,1,10,4,0,6
"423","Thomsidae","Tmarus","Tmarus angulatus",1,1,3,1,0,6
"424","Thomsidae","Mecaphesa",0,0,0,10,4,0,6
"425","Thomsidae","Xysticus",0,0,0,23,14,0,6
"426","Thomsidae",0,0,0,0,0,0,0,6
"427","Uloboridae","Hyptiotes","Hyptiotes gertschi",0,1,0,1,0,2
"428","Uloboridae",0,0,0,0,0,0,0,2
"429","Zodaraiidae","Lutica","Lutica clementea",0,3,6,13,0,1
"430","Chemitidae",0,0,0,0,0,0,0,1
"431","Olpiidae","Oreolpium",0,0,0,0,1,0,2
"432","Olpiidae",0,0,0,0,0,0,0,2
"433","Psoroptidae","Otodectes","Otodectes cynotis",0,1,0,1,0,2
"434","Vaejovidae","Vaejovis",0,0,0,0,1,103,10
