locality_latlong,Freq,id,island,latitude,longitude,locality,year,taxa
34.01773-120.09851,7,Cal-IBIS,Santa Rosa,34.01773,-120.09851,"Lobo Canyon, Santa Rosa Island; Between Lobo Canyon 05 & 06",2013,amphibian
34.0178-119.6798,3,890747330,Santa Cruz,34.0178,-119.6798,Santa Cruz Island. Prisoners (E of dock),2013,amphibian
34.01791766-119.6152959,11,1145415001,Santa Cruz,34.01791766,-119.6152959,"eastern pines along ridge SE border Chinese Harbor, Santa Cruz Island",1974,amphibian
34.01812998-119.709121,5,1145414979,Santa Cruz,34.01812998,-119.709121,"W branch Water Canyon, ca. 1.25 mi E (by air) Prisoner's Harbor, Santa Cruz Island",1974,amphibian
34.01819018-119.6815974,55,Cal-IBIS,Santa Cruz,34.01819018,-119.6815974,"main canyon opening on Prisoner's Harbor, Santa Cruz Island",1950,amphibian
34.01825-120.09816,2,Cal-IBIS,Santa Rosa,34.01825,-120.09816,"Lobo Canyon, Santa Rosa Island; Lobo Canyon 06",2013,amphibian
34.018411-119.702889,1,Cal-IBIS,Santa Cruz,34.018411,-119.702889,"Santa Cruz Island, Tinkers Cove, 34 1 6.28 N, 119 42 10.4 W",2001,amphibian
34.019352-119.684316,57,1145577075,Santa Cruz,34.019352,-119.684316,"Telephone poles, Prisoner's Harbor, Santa Cruz Island",1974,amphibian
34.01937113-119.6835915,1,1145415017,Santa Cruz,34.01937113,-119.6835915,"0.5 mi E Prisoner's Harbor, Santa Cruz Island",1974,amphibian
34.0195441-119.6866125,81,Cal-IBIS,Santa Cruz,34.0195441,-119.6866125,"Prisoner's Harbor, Santa Cruz Island",1948,amphibian
34.0195441-119.6866125,81,Cal-IBIS,Santa Cruz,34.0195441,-119.6866125,"Prisoners' Harbor, Santa Cruz Island",1948,amphibian
34.01961196-119.8453871,1,1145414847,Santa Cruz,34.01961196,-119.8453871,"Canada Cervada, ca. 0.5 mi E of Christi Airstrip, Santa Cruz Island",1974,amphibian
34.01962-119.68643,1,1800523649,Santa Cruz,34.01962,-119.68643,"Santa Cruz Island, Prisoner's Harbor",2014,amphibian
34.01978706-119.6910526,37,1145414947,Santa Cruz,34.01978706,-119.6910526,Canyon 0.25 mi W Prisoners Harbor,1974,amphibian
34.01978706-119.6910526,37,1145414964,Santa Cruz,34.01978706,-119.6910526,"Canyon 0.25 mi W Prisoners Harbor, Santa Cruz Island",1974,amphibian
34.0198-119.8689,1,890746996,Santa Cruz,34.0198,-119.8689,Santa Cruz Island. Christy Ranch,2013,amphibian
34.02001509-119.6865355,90,1145456819,Santa Cruz,34.02001509,-119.6865355,"vicinity of Prisoner's Harbor, Santa Cruz Island",1974,amphibian
34.0200409-119.8515253,16,657487399,Santa Cruz,34.0200409,-119.8515253,"Santa Cruz Island, Campo Raton beneath Quercus agrifolia trees on Canada Cervada (about 1.5 miles E of Christi Ranch house)",1971,amphibian
34.02033908-119.6868136,1,Cal-IBIS,Santa Cruz,34.02033908,-119.6868136,"Johnson's Landing near Gull Rock, Santa Cruz Island",1928,amphibian
34.02058204-119.8306128,13,657487382,Santa Cruz,34.02058204,-119.8306128,"Santa Cruz Is, 3 mi. E. Cristi Ranch",1971,amphibian
34.02086207-119.6859365,11,1852458942,Santa Cruz,34.02086207,-119.6859365,"Santa Cruz Island, Prisioners' Harbor",1974,amphibian
34.02089308-119.6850045,239,Cal-IBIS,Santa Cruz,34.02089308,-119.6850045,"Santa Cruz Island, Prisoner's harbor",1967,amphibian
34.02123609-119.5420023,3,Cal-IBIS,Santa Cruz,34.02123609,-119.5420023,"Smuggler's Harbor, fresh water pool in canyon above ranch house",1939,amphibian
34.02127206-119.6851515,11,657343112,Santa Cruz,34.02127206,-119.6851515,"Santa Cruz Island, Prisoner's harbor, Ranch Canyon",1939,amphibian
34.021389-119.683889,6,Cal-IBIS,Santa Cruz,34.021389,-119.683889,Prisoner's Harbor,1974,amphibian
34.021389-119.683891,1,735673841,Santa Cruz,34.021389,-119.683891,Santa Cruz Island; Prisoners Harbor,1985,amphibian
34.021944-119.870556,3,Cal-IBIS,Santa Cruz,34.021944,-119.870556,Santa Cruz Island; Christy Ranch,1982,amphibian
34.02212969-119.8728158,7,1145414840,Santa Cruz,34.02212969,-119.8728158,"Canada Cervada ca. 0.5 mi E of Christi Airstrip, Santa Cruz Island",1974,amphibian
34.02222066-119.8768278,165,1145460648,Santa Cruz,34.02222066,-119.8768278,"Christi Beach, Santa Cruz Island",1978,amphibian
34.02222066-119.8768278,165,657487497,Santa Cruz,34.02222066,-119.8768278,"Santa Cruz Island, Christi Beach (south side beneath driftwood planks and boards and stones at base of cliff)",1971,amphibian
34.02289614-119.8067753,11,657448878,Santa Cruz,34.02289614,-119.8067753,"Santa Cruz Island, ca 3-5 mi E Christi Beach",1968,amphibian
34.0229-119.87103,1,239719026,Santa Cruz,34.0229,-119.87103,Santa Cruz Island,2001,amphibian
34.02357982-119.570661,7,Cal-IBIS,Santa Cruz,34.02357982,-119.570661,"East end , Santa Cruz Is.",1955,amphibian
34.023654-119.876249,17,1145577121,Santa Cruz,34.023654,-119.876249,"West end Christy Beach, sea level, dunes, low succulent scrub. Santa Cruz Island",1974,amphibian
34.02502978-119.7095851,1,Cal-IBIS,Santa Cruz,34.02502978,-119.7095851,"creek S of Pelican Bay, Santa Cruz Island",1974,amphibian
34.02606449-119.6068128,13,1145415006,Santa Cruz,34.02606449,-119.6068128,"head of largest canyon entering Chinese Harbor, Santa Cruz Island",1974,amphibian
34.02925-120.34209,1,890746745,San Miguel,34.02925,-120.34209,"Brooks fox pens, San Miguel Island",2013,amphibian
34.0293-120.34293,2,890746734,San Miguel,34.0293,-120.34293,"Brooks fox pens, San Miguel Island",2013,amphibian
34.03183664-119.701938,13,1145415014,Santa Cruz,34.03183664,-119.701938,"creek S of Pelican Bay, Santa Cruz Island",1974,amphibian
34.032222-120.323056,1,735666031,San Miguel,34.032222,-120.323056,San Miguel Island; Willow Canyon,1987,amphibian
34.03257-119.70479,9,Cal-IBIS,Santa Cruz,34.03257,-119.70479,Santa Cruz Island; Pelican Bay,1951,amphibian
34.0327746-119.7037621,1,Cal-IBIS,Santa Cruz,34.0327746,-119.7037621,"creek S of Pelican Bay, Santa Cruz Island",1974,amphibian
34.032778-120.365278,1,735663698,San Miguel,34.032778,-120.365278,San Miguel Island; San Miguel Hill,1986,amphibian
34.03280361-119.702929,11,1145414973,Santa Cruz,34.03280361,-119.702929,"ca. 1000 ft SE Pelican Bay, Santa Cruz Island",1974,amphibian
34.03316-120.36433,2,890746556,San Miguel,34.03316,-120.36433,"San Miguel Hill, San Miguel Island",2013,amphibian
34.03356358-119.7040451,4,1145615723,Santa Cruz,34.03356358,-119.7040451,"Pelican Bay, Santa Cruz Island",1949,amphibian
34.03362058-119.7034591,3,543693225,Santa Cruz,34.03362058,-119.7034591,near Pelican Harbor,1951,amphibian
34.03377059-119.701855,30,Cal-IBIS,Santa Cruz,34.03377059,-119.701855,"Santa Cruz Island, Pelican Bay",1941,amphibian
34.0337706-119.700749,4,657343081,Santa Cruz,34.0337706,-119.700749,"Santa Cruz Island,  Pelican Bay",1941,amphibian
34.033889-120.345278,2,735667476,San Miguel,34.033889,-120.345278,San Miguel Island; 0.2 mi SE of Ranch Air Strip,1986,amphibian
34.034444-120.333333,1,735666131,San Miguel,34.034444,-120.333333,"San Miguel Island; Willow Creek, 1/4 mi above falls",1978,amphibian
34.03535-120.31847,2,890746791,San Miguel,34.03535,-120.31847,"Willow Canyon, San Miguel Island",2013,amphibian
34.03717-120.318,1,890746802,San Miguel,34.03717,-120.318,"Willow Canyon, San Miguel Island",2013,amphibian
34.0375-120.339167,3,735670690,San Miguel,34.0375,-120.339167,"San Miguel Island; Willow Canyon, Grassland S of upper canyon",1986,amphibian
34.0375-120.339167,3,735667897,San Miguel,34.0375,-120.339167,"San Miguel Island; Willow Canyon, 0.6 mi E of Ranch Air Strip, grassland S of upper canyon",1986,amphibian
34.03775162-120.3736881,3,1319682217,San Miguel,34.03775162,-120.3736881,San Miguel Island,1892,amphibian
34.03780462-120.3735881,8,1039487434,San Miguel,34.03780462,-120.3735881,NA,1968,amphibian
34.03780462-120.3735881,8,657342575,San Miguel,34.03780462,-120.3735881,"Rancho Rambouilett, San Miguel Island",1939,amphibian
34.03785-120.3729,3,44927844,San Miguel,34.03785,-120.3729,San Miguel Island,NA,amphibian
34.0379-120.31735,1,890746754,San Miguel,34.0379,-120.31735,"Willow Canyon, San Miguel Island",2013,amphibian
34.03795-120.31697,1,890746768,San Miguel,34.03795,-120.31697,"Willow Canyon, San Miguel Island",2013,amphibian
34.03851-120.3519,3,890746682,San Miguel,34.03851,-120.3519,"Ranger Station, San Miguel Island",2013,amphibian
34.03871-119.82793,5,Cal-IBIS,Santa Cruz,34.03871,-119.82793,Santa Cruz Island; W side,1969,amphibian
34.03871-119.82793,5,Cal-IBIS,Santa Cruz,34.03871,-119.82793,"Santa Cruz Island; W side, landing",1969,amphibian
34.0397-120.3744,24,1039487318,San Miguel,34.0397,-120.3744,Lester Ranch House,1968,amphibian
34.039722-120.374444,113,735675523,San Miguel,34.039722,-120.374444,San Miguel Island,1978,amphibian
34.039722-120.374444,113,543632622,San Miguel,34.039722,-120.374444,NA,1903,amphibian
34.03982056-120.3738822,1,1061391698,San Miguel,34.03982056,-120.3738822,San Miguel Island,NA,amphibian
34.040556-120.349167,1,735669010,San Miguel,34.040556,-120.349167,San Miguel Island; Lester Ranch site area,1986,amphibian
34.04118-119.57315,6,45010360,Santa Cruz,34.04118,-119.57315,Santa Cruz Island,1940,amphibian
34.04131-120.38847,1,890746577,San Miguel,34.04131,-120.38847,"Green Mountain, San Miguel Island",2013,amphibian
34.04141-120.43354,2,890746885,San Miguel,34.04141,-120.43354,"Bath Springs, San Miguel Island",2013,amphibian
34.04232-120.41007,2,890746547,San Miguel,34.04232,-120.41007,"Dry Lake, San Miguel Island",2013,amphibian
34.04431657-120.3539638,17,657342858,San Miguel,34.04431657,-120.3539638,"Nidever Canyon, San Miguel Island",1939,amphibian
34.044982-119.725853,5,Cal-IBIS,Santa Cruz,34.044982,-119.725853,Cascada,1967,amphibian
34.044982-119.725853,5,1039468702,Santa Cruz,34.044982,-119.725853,3.7 mi E. of mouth of Canada Sauces Oueste,1971,amphibian
34.045-120.38,1,2249111030,San Miguel,34.045,-120.38,"Santa Barbara County, San Miguel Island",1978,amphibian
34.04523536-120.3802374,49,1145624474,San Miguel,34.04523536,-120.3802374,San Miguel Island,NA,amphibian
34.04631052-120.3532928,1,657342573,San Miguel,34.04631052,-120.3532928,"Culyer Tyler Harbor, San Miguel Island, 1/3 distance w. of east end of North Face",1964,amphibian
34.04722951-120.3519818,11,657450143,San Miguel,34.04722951,-120.3519818,"San Miguel Is., main ravine emptying into Cuyler Harbor",1970,amphibian
34.04764-120.39386,1,890746570,San Miguel,34.04764,-120.39386,"North Green Mountain Canyon, San Miguel Island",2013,amphibian
34.04865724-119.5516698,26,1322624317,Santa Cruz,34.04865724,-119.5516698,"Santa Cruz Island, Scorpion Bay",1929,amphibian
34.04865724-119.5516698,26,1322303928,Santa Cruz,34.04865724,-119.5516698,"Santa Cruz Island, Scorpion Harbor",1929,amphibian
34.04972-120.34741,24,657342921,San Miguel,34.04972,-120.34741,"Culyer's Harbor, San Miguel Is",1939,amphibian
34.05-120.38,1,2309583349,San Miguel,34.05,-120.38,"USA:California, Santa Barbara County, San Miguel Island",1978,amphibian
34.0508-120.3519,104,1039488135,San Miguel,34.0508,-120.3519,Cuylers Harbor,1968,amphibian
34.055623-120.361411,9,657418263,San Miguel,34.055623,-120.361411,"San Miguel Is., Cuyler Harbor, W end",1968,amphibian
34.058056-120.386111,25,735675049,San Miguel,34.058056,-120.386111,San Miguel Island; Simonton Cove,1978,amphibian
34.05869933-119.9171601,5,657480045,Santa Cruz,34.05869933,-119.9171601,"Santa Cruz Is., Farney Cave",1969,amphibian
34.05874-119.91648,1,45027978,Santa Cruz,34.05874,-119.91648,Santa Cruz Island; near Forney's Cove,1947,amphibian
