locality_latlong,Freq,island,latitude,longitude,locality,year,taxa
33.4-118.38333,4,Santa Catalina,33.4,-118.38333,"Echo Lake, Santa Catalina I.",1999,hymenoptera
33.4-118.38333,4,Santa Catalina,33.4,-118.38333,"3 km SW Catalina Airport, Santa Catalina I.",1999,hymenoptera
33.4-118.4,101,Santa Catalina,33.4,-118.4,Santa Catalina Island,1938,hymenoptera
33.4005-118.3909,6,Santa Catalina,33.4005,-118.3909,"Santa Catalina Island, Echo Lake",1981,hymenoptera
33.4022-118.4003,26,Santa Catalina,33.4022,-118.4003,Santa Catalina Isl.,2010,hymenoptera
33.4022-118.4003,26,Santa Catalina,33.4022,-118.4003,Santa Catalina Island,2010,hymenoptera
33.40732-118.42175,1,Santa Catalina,33.40732,-118.42175,"1 km WNW Catalina Airport, Santa Catalina Island",2002,hymenoptera
33.40837-118.42778,2,Santa Catalina,33.40837,-118.42778,"1 km WNW Catalina Airport, Santa Catalina Island",2002,hymenoptera
33.4089-118.4266,10,Santa Catalina,33.4089,-118.4266,"1 km WNW Catalina Airport, Santa Catalina Island",2002,hymenoptera
33.40943-118.42542,2,Santa Catalina,33.40943,-118.42542,"1 km WNW Catalina Airport, Santa Catalina Island",2002,hymenoptera
33.41012-118.46689,1,Santa Catalina,33.41012,-118.46689,"Little Springs Canyon, Santa Catalina I.",2004,hymenoptera
33.41667-118.43333,2,Santa Catalina,33.41667,-118.43333,"1 km WNW Catalina airport, Santa Catalina I.",2002,hymenoptera
33.41667-118.43333,2,Santa Catalina,33.41667,-118.43333,"i Km WNW Catalina Airport, Santa Catalina I",2002,hymenoptera
33.42-118.42,4,Santa Catalina,33.42,-118.42,NA,1935,hymenoptera
33.42-118.42,4,Santa Catalina,33.42,-118.42,Santa Catalina Island,1935,hymenoptera
33.42099-118.44016,2,Santa Catalina,33.42099,-118.44016,"1 km SW Rippers Cove, Santa Catalina I.",2004,hymenoptera
33.42167-118.44,1,Santa Catalina,33.42167,-118.44,"1 km SW Empire Landing, Santa Catalina I.",2002,hymenoptera
33.434-118.522,3,Santa Catalina,33.434,-118.522,"Santa Catalina Island, Mt. Torquemada",1965,hymenoptera
33.44-118.499,13,Santa Catalina,33.44,-118.499,"Santa Catalina Island, Catalina Harbor",1979,hymenoptera
33.44-118.499,13,Santa Catalina,33.44,-118.499,"Santa Catalina Island, The Isthmus",1978,hymenoptera
33.444-118.484,1,Santa Catalina,33.444,-118.484,"Santa Catalina Island, Fisherman's Cove",NA,hymenoptera
33.44416667-118.4822222,3,Santa Catalina,33.44416667,-118.4822222,NA,NA,hymenoptera
33.445-118.483,4,Santa Catalina,33.445,-118.483,"Santa Catalina Island, USC Marine Science Center",1980,hymenoptera
33.445118.483,2,Santa Catalina,33.445,118.483,"Santa Catalina Island, USC Marine Science Center",1980,hymenoptera
33.4508-118.5097,10,Santa Catalina,33.4508,-118.5097,"Santa Catalina Island, Cherry Cove",1980,hymenoptera
33.4508-118.5097,10,Santa Catalina,33.4508,-118.5097,"Santa Catalina Island, Cherry Valley",1978,hymenoptera
33.46249-118.52312,2,Santa Catalina,33.46249,-118.52312,"Howland's, Santa Catalina Island",1933,hymenoptera
33.466-118.5464,8,Santa Catalina,33.466,-118.5464,Santa Catalina Island; west end,2010,hymenoptera
33.466-118.5464,8,Santa Catalina,33.466,-118.5464,"Santa Catalina Island; west end; 33.4660, -118.5464",2010,hymenoptera
33.466-119.036,1,Santa Barbara,33.466,-119.036,"Santa Barbara Island, ""(Sta 3)"" Cat Canyon",1978,hymenoptera
33.466135-119.035378,2,Santa Barbara,33.466135,-119.035378,Santa Barbara Island; Cat Canyon,1978,hymenoptera
33.471968-119.041211,1,Santa Barbara,33.471968,-119.041211,Santa Barbara Island; near Signal Peak,1979,hymenoptera
33.4725-118.605,42,Santa Catalina,33.4725,-118.605,Eagle Rock,1935,hymenoptera
33.4725-118.605,42,Santa Catalina,33.4725,-118.605,Eagle Rock Hill,1933,hymenoptera
33.473-118.551,3,Santa Catalina,33.473,-118.551,"Santa Catalina Island, Parsons Landing",1981,hymenoptera
33.47414-119.0396,1,Santa Barbara,33.47414,-119.0396,Santa Barbara I.,2014,hymenoptera
33.474691-119.030774,1,Santa Barbara,33.474691,-119.030774,Santa Barbara Island; Graveyard Canyon,1979,hymenoptera
33.475-119.033,3,San Clemente,33.475,-119.033,"San Clemente Island, 0.5 miles SE. of Pyramid Cove",1973,hymenoptera
33.475-119.033,3,Santa Barbara,33.475,-119.033,"Santa Barbara Island, ""(Sta 3)"" Graveyard Canyon",1987,hymenoptera
33.475478-119.030577,2,Santa Barbara,33.475478,-119.030577,Santa Barbara Island; Graveyard Canyon,1979,hymenoptera
33.475555-119.035278,34,Santa Barbara,33.475555,-119.035278,Santa Barbara Island,1978,hymenoptera
33.475555-119.035278,34,Santa Barbara,33.475555,-119.035278,"Santa Barbara Island, Cat Canyon",1978,hymenoptera
33.475555-119.035278,34,Santa Barbara,33.475555,-119.035278,"Santa Barbara Island, Cave Canyon",1978,hymenoptera
33.475555-119.035278,34,Santa Barbara,33.475555,-119.035278,"Santa Barbara Island, Cliff Canyon",1979,hymenoptera
33.475555-119.035278,34,Santa Barbara,33.475555,-119.035278,"Santa Barbara Island, Graveyard Canyon",1978,hymenoptera
33.475555-119.035278,34,Santa Barbara,33.475555,-119.035278,"Santa Barbara Island, Landing Cove",1978,hymenoptera
33.475555-119.035278,34,Santa Barbara,33.475555,-119.035278,"Santa Barbara Island, Middle Canyon",1978,hymenoptera
33.475555-119.035278,34,Santa Barbara,33.475555,-119.035278,"Santa Barbara Island, northwestern terrace",1979,hymenoptera
33.475555-119.035278,34,Santa Barbara,33.475555,-119.035278,"Santa Barbara Island, Cat Canyon; 33.475555 -119.035278",1978,hymenoptera
33.47558-119.036211,85,Santa Barbara,33.47558,-119.036211,Santa Barbara Island,1979,hymenoptera
33.47558-119.036211,85,Santa Barbara,33.47558,-119.036211,Santa Barbara Island; campground 33.47558 -119.036211,1999,hymenoptera
33.4769-119.03474,12,Santa Barbara,33.4769,-119.03474,Santa Barbara I.,1999,hymenoptera
33.4769-119.03474,12,Santa Barbara,33.4769,-119.03474,Santa Barbara Is.,1974,hymenoptera
33.47698-119.03772,1,Santa Barbara,33.47698,-119.03772,Santa Barbara Island,1938,hymenoptera
33.477233-119.035216,21,Santa Barbara,33.477233,-119.035216,Santa Barbara Island; 33.47558 -119.036211,1978,hymenoptera
33.477233-119.035216,21,Santa Barbara,33.477233,-119.035216,Santa Barbara Island; northwestern terrace,1979,hymenoptera
33.47766-119.0308,1,Santa Barbara,33.47766,-119.0308,"Middle Canyon, Santa Barbara I.",2014,hymenoptera
33.478921-119.029723,6,Santa Barbara,33.478921,-119.029723,Santa Barbara Island; Cave Canyon,1978,hymenoptera
33.479-119.029,1,Santa Barbara,33.479,-119.029,"Santa Barbara Island, ""(Sta.7)"" Cave Canyon",1979,hymenoptera
33.479291-119.030196,1,Santa Barbara,33.479291,-119.030196,"Santa Barbara Island, Campsite",1978,hymenoptera
33.479658-119.029676,5,Santa Barbara,33.479658,-119.029676,"Santa Barbara Island, Campsite; 33.479291 -119.030196",1978,hymenoptera
33.48-119.04,93,Santa Barbara,33.48,-119.04,"Santa Barbara Island, ""Sta 2""",1978,hymenoptera
33.48-119.04,93,Santa Barbara,33.48,-119.04,"Santa Barbara Island, plateau above ranger station",1968,hymenoptera
33.48-119.04,93,Santa Barbara,33.48,-119.04,Santa Barbara Island,1940,hymenoptera
33.48119-119.03656,1,Santa Barbara,33.48119,-119.03656,"Santa Barbara I., base of North Peak",1978,hymenoptera
33.48135-119.02952,1,Santa Barbara,33.48135,-119.02952,Santa Barbara I.,2014,hymenoptera
33.48159-119.03841,1,Santa Barbara,33.48159,-119.03841,"Santa Barbara I., Elephant Seal Cove",1999,hymenoptera
33.481676-119.030407,7,Santa Barbara,33.481676,-119.030407,Santa Barbara Island; Landing Cove,1979,hymenoptera
33.481944-119.030278,2,Santa Barbara,33.481944,-119.030278,Santa Barbara Island; Landing Cove; 33.481676 -119.030407,1979,hymenoptera
33.48211-119.0305,1,Santa Barbara,33.48211,-119.0305,"Santa Barbara I., Landing Cove",1999,hymenoptera
33.485065-119.030584,4,Santa Barbara,33.485065,-119.030584,Santa Barbara Island; Cliff Canyon; 33.47558 -119.036211,1978,hymenoptera
33.8299-120.0641,25,Santa Rosa,33.8299,-120.0641,NA,2012,hymenoptera
33.895-119.855,1,Santa Cruz,33.895,-119.855,"Santa Cruz Island, Canada Poso",2006,hymenoptera
33.899916-120.11048,3,Santa Rosa,33.899916,-120.11048,"Santa Rosa Island, Abandoned Air Force Base, Johnson's Lee",1977,hymenoptera
33.901542-120.108919,1,Santa Rosa,33.901542,-120.108919,Santa Rosa Island; Johnson's Lee,1999,hymenoptera
33.903-120.106,1,Santa Rosa,33.903,-120.106,"Santa Rosa Island, Johnsons Lee",1994,hymenoptera
33.90318-120.10656,4,Santa Rosa,33.90318,-120.10656,Santa Rosa Island South Point,2014,hymenoptera
33.90323-120.10643,3,Santa Rosa,33.90323,-120.10643,Santa Rosa Island South Point,2014,hymenoptera
33.904-120.113,1,Santa Rosa,33.904,-120.113,"Santa Rosa Island, above Johnsons Lee",1994,hymenoptera
33.90484-120.11322,3,Santa Rosa,33.90484,-120.11322,Santa Rosa Island South Point,2014,hymenoptera
33.91-119.677,1,Santa Cruz,33.91,-119.677,"Santa Cruz Island, Valley Anchorage",2012,hymenoptera
33.917888-120.164461,1,Santa Rosa,33.917888,-120.164461,Santa Rosa island; China Camp,1977,hymenoptera
33.91862-120.16583,5,Santa Rosa,33.91862,-120.16583,"China Camp, Santa Rosa Island",2014,hymenoptera
33.91953-120.16544,1,Santa Rosa,33.91953,-120.16544,"China Camp, Santa Rosa Island",2014,hymenoptera
33.91955-120.16567,1,Santa Rosa,33.91955,-120.16567,"China Camp, Santa Rosa Island",2014,hymenoptera
33.91995-120.16583,3,Santa Rosa,33.91995,-120.16583,"China Camp, Santa Rosa Island",2014,hymenoptera
33.92-120.062,3,Santa Rosa,33.92,-120.062,"Santa Rosa Island, upper Wreck Canyon",1976,hymenoptera
33.92-120.062,3,Santa Rosa,33.92,-120.062,"Santa Rosa Island, Wreck Canyon",1994,hymenoptera
33.920645-120.162365,2,Santa Rosa,33.920645,-120.162365,Santa Rosa Island; China Camp,1976,hymenoptera
33.920645-120.162365,2,Santa Rosa,33.920645,-120.162365,Santa Rosa Island; China Camp; 33.920645 -120.162365,1976,hymenoptera
33.924-120.17,123,Santa Rosa,33.924,-120.17,"China Camp/Cluster Point area, Santa Rosa Island",1978,hymenoptera
33.924724-120.179578,1,Santa Rosa,33.924724,-120.179578,"Santa Rosa Island, Cluster Point",1976,hymenoptera
33.926216-120.062363,1,Santa Rosa,33.926216,-120.062363,Santa Rosa Island; Upper Wreck Canyon,1976,hymenoptera
33.940885-120.067556,1,Santa Rosa,33.940885,-120.067556,Santa Rosa Island; Wreck Camp,1999,hymenoptera
33.943495-119.972045,1,Santa Rosa,33.943495,-119.972045,Santa Rosa Island; East Point Beach,1999,hymenoptera
33.94407-120.11854,4,Santa Rosa,33.94407,-120.11854,Santa Rosa Island S of Radar Peak,2014,hymenoptera
33.9442-120.117,3,Santa Rosa,33.9442,-120.117,Santa Rosa Island,2015,hymenoptera
33.9442-120.1188,3,Santa Rosa,33.9442,-120.1188,Santa Rosa Island S of Radar Peak,2014,hymenoptera
33.94441-120.11814,2,Santa Rosa,33.94441,-120.11814,"Radar Peak, Santa Rosa Island",2014,hymenoptera
33.94447-120.11776,3,Santa Rosa,33.94447,-120.11776,Santa Rosa Island S of Radar Peak,2014,hymenoptera
33.94448-120.11793,1,Santa Rosa,33.94448,-120.11793,"Soledad Peak, Santa Rosa Island",2014,hymenoptera
33.9456-120.118,1,Santa Rosa,33.9456,-120.118,Santa Rosa Island,2015,hymenoptera
33.946-120.109,1,Santa Rosa,33.946,-120.109,Santa Rosa Island,2015,hymenoptera
33.947267-120.056012,1,Santa Rosa,33.947267,-120.056012,Santa Rosa Island; Clapp Spring,1978,hymenoptera
33.948-120.111,3,Santa Rosa,33.948,-120.111,Santa Rosa Island,2015,hymenoptera
33.9481-120.111,2,Santa Rosa,33.9481,-120.111,Santa Rosa Island,2015,hymenoptera
33.9496-120.104,1,Santa Rosa,33.9496,-120.104,Santa Rosa Island,2015,hymenoptera
33.95-120.1,54,Santa Rosa,33.95,-120.1,Santa Rosa Island,1939,hymenoptera
33.95-120.1,54,Santa Cruz,33.95,-120.1,Santa Cruz Island,2004,hymenoptera
33.95-120.10096,5,Santa Rosa,33.95,-120.10096,"Santa Rosa Island, Torrey Pine area",1978,hymenoptera
33.95-120.10096,5,Santa Rosa,33.95,-120.10096,"Santa Rosa Island, Windmill Canyon north fork",1978,hymenoptera
33.95-120.10096,5,Santa Rosa,33.95,-120.10096,Santa Rosa Island 3.5 mi. W.Skunk Point,1975,hymenoptera
33.95-120.10096,5,Santa Rosa,33.95,-120.10096,"Santa Rosa Island, c. 3 mi. S. of Main Ranch, in Lyonothamnus grove",1976,hymenoptera
33.950003-120.100964,8,Santa Rosa,33.950003,-120.100964,Santa Rosa Island,1958,hymenoptera
33.9512-120.109,2,Santa Rosa,33.9512,-120.109,Santa Rosa Island,2015,hymenoptera
33.9613-119.7619,3,Santa Cruz,33.9613,-119.7619,"Santa Cruz Island, south ridge",1988,hymenoptera
33.963-119.754,11,Santa Cruz,33.963,-119.754,"Santa Cruz Island, nr Willows Anchorage",1997,hymenoptera
33.963-119.754,11,Santa Cruz,33.963,-119.754,"Santa Cruz Island, Willows Anchorage",1990,hymenoptera
33.963-119.796,1,Santa Cruz,33.963,-119.796,"Santa Cruz Island, Laguna Anchorage",1990,hymenoptera
33.96313-119.98185,1,Santa Rosa,33.96313,-119.98185,"Santa Rosa I., mouth of Old Ranch Canyon",1976,hymenoptera
33.96387-119.74846,1,Santa Cruz,33.96387,-119.74846,"Santa Cruz Island, Willows Cove",1978,hymenoptera
33.963918-119.998805,2,Santa Rosa,33.963918,-119.998805,Santa Rosa Island; Old Ranch Canyon,1978,hymenoptera
33.963918-119.998805,2,Santa Rosa,33.963918,-119.998805,Santa Rosa Island; Old Ranch Canyon; 33.963918 -119.998805,1978,hymenoptera
33.965378-120.10412,13,Santa Rosa,33.965378,-120.10412,Santa Rosa Island,1999,hymenoptera
33.96666-119.70833,48,Santa Cruz,33.96666,-119.70833,"Santa Cruz Island, Coches Prietos",2008,hymenoptera
33.96667-119.76667,3,Santa Cruz,33.96667,-119.76667,"The Willows, Santa Cruz Island",1984,hymenoptera
33.96778-119.8475,1,Santa Cruz,33.96778,-119.8475,"Santa Cruz Island, Morse Point",1998,hymenoptera
33.96889-119.70569,11,Santa Cruz,33.96889,-119.70569,"Coches Prietos, Sta. Cruz I.",1968,hymenoptera
33.96889-119.70569,11,Santa Cruz,33.96889,-119.70569,"Coches Prietos [as ""Coches Prietus""], Santa Cruz I.",1968,hymenoptera
33.96889-119.70569,11,Santa Cruz,33.96889,-119.70569,"Coches Prietos, Santa Cruz I.",1968,hymenoptera
33.96919-119.70796,1,Santa Cruz,33.96919,-119.70796,Coches Prietos,1968,hymenoptera
33.969323-119.705661,3,Santa Cruz,33.969323,-119.705661,Santa Cruz Island; Coches Prietos; 33.969323 -119.705661,1979,hymenoptera
33.969323-119.705661,3,Santa Cruz,33.969323,-119.705661,Santa Cruz Island; Coches Prietos,1979,hymenoptera
33.9695-119.7076,111,Santa Cruz,33.9695,-119.7076,"Santa Cruz Island, Coches Prietos Anchorage",1994,hymenoptera
33.9695-119.7076,111,Santa Cruz,33.9695,-119.7076,"Santa Cruz Island, Coches Prietos",1968,hymenoptera
33.969933-120.110643,3,Santa Rosa,33.969933,-120.110643,Santa Rosa Island,1994,hymenoptera
33.969933-120.110643,3,Santa Rosa,33.969933,-120.110643,Santa Rosa Island; Lobo Cyn; 34.017382 -120.096876,1978,hymenoptera
33.969933-120.110643,3,Santa Rosa,33.969933,-120.110643,Santa Rosa Island; ranch,1976,hymenoptera
33.97-120.02,1,Santa Rosa,33.97,-120.02,"Santa Rosa Island, east end of island, s. Torrey Pines",1988,hymenoptera
33.972-119.842,7,Santa Cruz,33.972,-119.842,"Santa Cruz Island, Johnson Canyon",1967,hymenoptera
33.972978-120.025033,1,Santa Rosa,33.972978,-120.025033,Santa Rosa Island; near Torrey Pine Grove,1976,hymenoptera
33.973707-120.025862,1,Santa Rosa,33.973707,-120.025862,Santa Rosa Island; Torrey Pines,1999,hymenoptera
33.97392-120.11266,1,Santa Rosa,33.97392,-120.11266,Santa Rosa Is.,1981,hymenoptera
33.974919-119.988182,1,Santa Rosa,33.974919,-119.988182,"Santa Rosa Island; Ranch, Beecher's Bay",1976,hymenoptera
33.975627-120.028589,1,Santa Rosa,33.975627,-120.028589,Santa Rosa Island; Torrey Pines,1999,hymenoptera
33.97606-120.19661,2,Santa Rosa,33.97606,-120.19661,"Pocket Field, Santa Rosa Island",2014,hymenoptera
33.97607-120.19658,6,Santa Rosa,33.97607,-120.19658,"Pocket Field, Santa Rosa Island",2014,hymenoptera
33.97653-120.08479,4,Santa Rosa,33.97653,-120.08479,"Upper Lobos Canyon, Santa Rosa Island",2014,hymenoptera
33.97656-120.08944,3,Santa Rosa,33.97656,-120.08944,Santa Rosa Island Lobos Canyon,2014,hymenoptera
33.977-119.724,76,Santa Cruz,33.977,-119.724,"Santa Cruz Island, Canada de Isley",1970,hymenoptera
33.977-119.724,76,Santa Cruz,33.977,-119.724,"Santa Cruz Island, Cañada del Isley",1990,hymenoptera
33.977-119.724,76,Santa Cruz,33.977,-119.724,"Santa Cruz Island, Isley Canyon",1970,hymenoptera
33.977-119.724,76,Santa Cruz,33.977,-119.724,"Santa Cruz Island, Laguna Canyon",2003,hymenoptera
33.977-119.724,76,Santa Cruz,33.977,-119.724,"Santa Cruz Island, lower Isley Canyon Rd.",1994,hymenoptera
33.977-119.799,2,Santa Cruz,33.977,-119.799,"Santa Cruz Island, Laguna Canyon",2004,hymenoptera
33.977-119.8,16,Santa Cruz,33.977,-119.8,"Santa Cruz Island, Laguna Canyon",1990,hymenoptera
33.977-119.8,16,Santa Cruz,33.977,-119.8,"Santa Cruz Island, lower Laguna Canyon",2000,hymenoptera
33.97769-119.70096,1,Santa Cruz,33.97769,-119.70096,"Head of Alberts Canyon, Sta. Cruz Is.",1968,hymenoptera
33.97777778-119.7244444,1,Santa Cruz,33.97777778,-119.7244444,NA,2000,hymenoptera
33.97778-119.72444,1,Santa Cruz,33.97778,-119.72444,"Coches Prietos Creek, Santa Cruz Island",2000,hymenoptera
33.97778-120.09031,1,Santa Rosa,33.97778,-120.09031,"Upper Lobos Canyon, Santa Rosa Island",2014,hymenoptera
33.978-119.759,2,Santa Cruz,33.978,-119.759,"Santa Cruz Island, Willows Canyon",2000,hymenoptera
33.97822-120.08062,5,Santa Rosa,33.97822,-120.08062,"Upper Lobos Canyon, Santa Rosa Island",2014,hymenoptera
33.978672-119.987613,5,Santa Rosa,33.978672,-119.987613,Santa Rosa Island; Beechers Bay,1978,hymenoptera
33.97868-120.07755,2,Santa Rosa,33.97868,-120.07755,"Black Mountain, Santa Rosa Island",2014,hymenoptera
33.978974-119.986584,5,Santa Rosa,33.978974,-119.986584,"Santa Rosa Island, Ranch, Beecher's Bay",1976,hymenoptera
33.9791-120.0046,123,Santa Rosa,33.9791,-120.0046,NA,2012,hymenoptera
33.97935-120.07911,4,Santa Rosa,33.97935,-120.07911,"Black Mountain, Santa Rosa Island",2014,hymenoptera
33.97935-120.07911,4,Santa Rosa,33.97935,-120.07911,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.97939-120.07912,2,Santa Rosa,33.97939,-120.07912,"Black Mountain, Santa Rosa Island",2014,hymenoptera
33.97958-120.07861,7,Santa Rosa,33.97958,-120.07861,Santa Rosa Island Black Mountain,2014,hymenoptera
33.97976-120.07993,6,Santa Rosa,33.97976,-120.07993,"Black Mountain, Santa Rosa Island",2014,hymenoptera
33.98-120.002,14,Santa Rosa,33.98,-120.002,"Santa Rosa Island, beach at Southeast Anchorage",1978,hymenoptera
33.9802-119.7216,8,Santa Cruz,33.9802,-119.7216,"Santa Cruz Island, upper Isley Canyon, roads s. of ridge",1997,hymenoptera
33.9802-119.7216,8,Santa Barbara,33.9802,-119.7216,"USA: CA Santa Barbara Co. Santa Cruz Island, upper Isley Canyon and roads S. of ridge",1997,hymenoptera
33.9802-119.7216,8,Santa Cruz,33.9802,-119.7216,"Santa Cruz island, upper Isley Canyon and roads S. of ridge",1997,hymenoptera
33.9802-120.08064,3,Santa Rosa,33.9802,-120.08064,Santa Rosa Island Black Mountain,2014,hymenoptera
33.98036-120.08079,6,Santa Rosa,33.98036,-120.08079,"Black Mountain, Santa Rosa Island",2014,hymenoptera
33.98043-120.07991,2,Santa Rosa,33.98043,-120.07991,Santa Rosa Island Black Mountain,2014,hymenoptera
33.98045-120.08006,4,Santa Rosa,33.98045,-120.08006,Santa Rosa Island Black Mountain,2014,hymenoptera
33.98076-120.08683,3,Santa Rosa,33.98076,-120.08683,Santa Rosa Island Lobos Canyon,2014,hymenoptera
33.980898-119.97852,1,Santa Rosa,33.980898,-119.97852,Santa Rosa Island; Beecher's Bay,1976,hymenoptera
33.98104-119.987324,3,Santa Rosa,33.98104,-119.987324,"Santa Rosa Island; Ranch, Beecher's Bay",1977,hymenoptera
33.98104-119.987324,3,Santa Rosa,33.98104,-119.987324,"Santa Rosa Island; Ranch, Beecher's Bay; 33.98104 -119.987324",1978,hymenoptera
33.98146-120.07375,3,Santa Rosa,33.98146,-120.07375,"Upper Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.9816-119.6795,7,Santa Cruz,33.9816,-119.6795,"Santa Cruz Island, Albert's Ridge",1966,hymenoptera
33.98172-120.07372,31,Santa Rosa,33.98172,-120.07372,"Upper Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98178-120.07378,2,Santa Rosa,33.98178,-120.07378,"Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98185-120.07416,2,Santa Rosa,33.98185,-120.07416,"Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98189-120.02966,1,Santa Rosa,33.98189,-120.02966,"Santa Rosa I., near Torrey pine grove",1976,hymenoptera
33.98191-120.08565,1,Santa Rosa,33.98191,-120.08565,"Upper Lobos Canyon, Santa Rosa Island",2014,hymenoptera
33.98195-120.07368,2,Santa Rosa,33.98195,-120.07368,"Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98197-120.02161,2,Santa Rosa,33.98197,-120.02161,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.982-119.747,9,Santa Cruz,33.982,-119.747,"Santa Cruz Island, n. slope El Tigre Ridge",1968,hymenoptera
33.98202-120.02165,1,Santa Rosa,33.98202,-120.02165,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.98202-120.07274,2,Santa Rosa,33.98202,-120.07274,"Upper Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98211-120.02199,2,Santa Rosa,33.98211,-120.02199,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.9822-120.02387,1,Santa Rosa,33.9822,-120.02387,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.982235-120.02359,1,Santa Rosa,33.982235,-120.02359,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.98224-120.02359,2,Santa Rosa,33.98224,-120.02359,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.98226-120.07372,4,Santa Rosa,33.98226,-120.07372,"Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98228-120.07317,5,Santa Rosa,33.98228,-120.07317,"Upper Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98229-120.07319,2,Santa Rosa,33.98229,-120.07319,"Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98231-120.07323,1,Santa Rosa,33.98231,-120.07323,"Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98232-120.07318,1,Santa Rosa,33.98232,-120.07318,"Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98232-120.07321,5,Santa Rosa,33.98232,-120.07321,"Upper Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98233-120.0231,3,Santa Rosa,33.98233,-120.0231,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.9824-120.07314,5,Santa Rosa,33.9824,-120.07314,"Upper Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98246-120.07359,5,Santa Rosa,33.98246,-120.07359,"Upper Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98266-120.07272,3,Santa Rosa,33.98266,-120.07272,"Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98274-120.07313,1,Santa Rosa,33.98274,-120.07313,"Upper Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98287-120.07275,2,Santa Rosa,33.98287,-120.07275,"Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98306-119.99596,1,Santa Rosa,33.98306,-119.99596,"Santa Rosa Island, 1 mi. W of Skunk Point",1975,hymenoptera
33.98314-120.07233,2,Santa Rosa,33.98314,-120.07233,"Upper Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98317-120.06139,2,Santa Rosa,33.98317,-120.06139,"Telephone Road, Santa Rosa Island",2014,hymenoptera
33.98325-120.0724,2,Santa Rosa,33.98325,-120.0724,"Upper Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98326-120.0243,5,Santa Rosa,33.98326,-120.0243,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.98333-119.85,1,Santa Cruz,33.98333,-119.85,"Pozo Canyon, Santa Cruz Island",1999,hymenoptera
33.98339-120.02283,3,Santa Rosa,33.98339,-120.02283,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.98342-120.07393,5,Santa Rosa,33.98342,-120.07393,Santa Rosa Island NE of Black Mountain,2014,hymenoptera
33.98349-120.07267,1,Santa Rosa,33.98349,-120.07267,"Cherry Canyon, Santa Rosa Island",2014,hymenoptera
33.98358-120.07411,4,Santa Rosa,33.98358,-120.07411,Santa Rosa Island NE of Black Mountain,2014,hymenoptera
33.98444-119.66583,2,Santa Cruz,33.98444,-119.66583,"Valley Anchorage, Santa Cruz Island",1966,hymenoptera
33.98444444-119.6658333,2,Santa Cruz,33.98444444,-119.6658333,NA,1966,hymenoptera
33.984453-120.040605,2,Santa Rosa,33.984453,-120.040605,Santa Rosa Island; Northeast,1978,hymenoptera
33.984505-119.782378,5,Santa Cruz,33.984505,-119.782378,Santa Cruz Island; between Alamos Canyon and Centinela,1982,hymenoptera
33.98479-120.02352,3,Santa Rosa,33.98479,-120.02352,"Torrey Pines, Santa Rosa Island",2014,hymenoptera
33.985-119.685,2,Santa Cruz,33.985,-119.685,"Santa Cruz Island, Canada del Medio, south ridge above air strip",1970,hymenoptera
33.985-119.685,2,Santa Cruz,33.985,-119.685,"Santa Cruz Island, South Ridge, Canada del Medio, above airstrip",1970,hymenoptera
33.985-119.703,5,Santa Cruz,33.985,-119.703,"Santa Cruz Island, head of Alberts Canyon",1968,hymenoptera
33.985-119.855,2,Santa Cruz,33.985,-119.855,"Santa Cruz Island, Canada Poso",2001,hymenoptera
33.985-119.855,2,Santa Cruz,33.985,-119.855,"Santa Cruz Island, Laguna Canyon",2006,hymenoptera
33.985-120.0764,1,Santa Rosa,33.985,-120.0764,Santa Rosa Island; CINP Windmill Canyon,2008,hymenoptera
33.9852-119.8551,6,Santa Cruz,33.9852,-119.8551,"Santa Cruz Island, Canada Poso",2004,hymenoptera
33.9853-119.668,10,Santa Cruz,33.9853,-119.668,"Santa Cruz Island, toward Valley Anchorage",1977,hymenoptera
